Mode,Workers,Time(s),Speedup
Sequential,1,0.2250112000037916,1.0
Parallel,1,0.2200754999939818,1.022427303402445
Parallel,2,0.21539719999418594,1.0446338207268486
Parallel,4,0.2144379000092158,1.0493070487731944
Parallel,8,0.2205950999923516,1.020019030393663
